Array size;Fill function;Pivot function;Time elapsed[s]
800000;Random;Random;1.598
800000;Only 0 to 100 values;Random;0.415
800000;Non-decreasing;Random;1.578
810000;Random;Random;1.624
810000;Only 0 to 100 values;Random;0.388
810000;Non-decreasing;Random;1.671
820000;Random;Random;1.622
820000;Only 0 to 100 values;Random;0.387
820000;Non-decreasing;Random;1.619
830000;Random;Random;1.714
830000;Only 0 to 100 values;Random;0.370
830000;Non-decreasing;Random;1.707
840000;Random;Random;1.708
840000;Only 0 to 100 values;Random;0.367
840000;Non-decreasing;Random;1.676
850000;Random;Random;1.656
850000;Only 0 to 100 values;Random;0.436
850000;Non-decreasing;Random;1.716
860000;Random;Random;1.713
860000;Only 0 to 100 values;Random;0.365
860000;Non-decreasing;Random;1.799
870000;Random;Random;1.798
870000;Only 0 to 100 values;Random;0.403
870000;Non-decreasing;Random;1.770
880000;Random;Random;1.790
880000;Only 0 to 100 values;Random;0.359
880000;Non-decreasing;Random;1.773
890000;Random;Random;1.806
890000;Only 0 to 100 values;Random;0.420
890000;Non-decreasing;Random;1.923
900000;Random;Random;1.859
900000;Only 0 to 100 values;Random;0.404
900000;Non-decreasing;Random;1.832
910000;Random;Random;1.835
910000;Only 0 to 100 values;Random;0.410
910000;Non-decreasing;Random;1.927
920000;Random;Random;1.867
920000;Only 0 to 100 values;Random;0.417
920000;Non-decreasing;Random;1.869
930000;Random;Random;1.897
930000;Only 0 to 100 values;Random;0.442
930000;Non-decreasing;Random;1.901
940000;Random;Random;1.886
940000;Only 0 to 100 values;Random;0.434
940000;Non-decreasing;Random;1.936
950000;Random;Random;1.966
950000;Only 0 to 100 values;Random;0.424
950000;Non-decreasing;Random;1.964
960000;Random;Random;1.935
960000;Only 0 to 100 values;Random;0.480
960000;Non-decreasing;Random;1.957
970000;Random;Random;2.052
970000;Only 0 to 100 values;Random;0.431
970000;Non-decreasing;Random;1.966
980000;Random;Random;1.945
980000;Only 0 to 100 values;Random;0.407
980000;Non-decreasing;Random;1.963
990000;Random;Random;2.052
990000;Only 0 to 100 values;Random;0.449
990000;Non-decreasing;Random;2.010
1000000;Random;Random;2.006
1000000;Only 0 to 100 values;Random;0.433
1000000;Non-decreasing;Random;2.107
10000;Random;Begin;0.012
10000;Only 0 to 100 values;Begin;0.004
10000;Non-decreasing;Begin;0.094
20000;Random;Begin;0.027
20000;Only 0 to 100 values;Begin;0.010
20000;Non-decreasing;Begin;0.265
30000;Random;Begin;0.040
30000;Only 0 to 100 values;Begin;0.014
30000;Non-decreasing;Begin;0.486
40000;Random;Begin;0.057
40000;Only 0 to 100 values;Begin;0.018
40000;Non-decreasing;Begin;0.748
50000;Random;Begin;0.068
50000;Only 0 to 100 values;Begin;0.023
50000;Non-decreasing;Begin;1.043
60000;Random;Begin;0.091
60000;Only 0 to 100 values;Begin;0.028
60000;Non-decreasing;Begin;1.375
