Array size,Fill function,Pivot function,Time elapsed[s]
230000,Only 0 to 100 values,Begin,0.108
230000,Non-decreasing,Begin,10.459
240000,Random,Begin,0.375
240000,Only 0 to 100 values,Begin,0.106
240000,Non-decreasing,Begin,11.141
250000,Random,Begin,0.409
250000,Only 0 to 100 values,Begin,0.115
250000,Non-decreasing,Begin,11.833
260000,Random,Begin,0.43
260000,Only 0 to 100 values,Begin,0.11
260000,Non-decreasing,Begin,12.889
270000,Random,Begin,0.442
270000,Only 0 to 100 values,Begin,0.129
270000,Non-decreasing,Begin,13.443
280000,Random,Begin,0.465
280000,Only 0 to 100 values,Begin,0.127
280000,Non-decreasing,Begin,14.133
290000,Random,Begin,0.476
290000,Only 0 to 100 values,Begin,0.158
290000,Non-decreasing,Begin,14.853
300000,Random,Begin,0.475
300000,Only 0 to 100 values,Begin,0.132
300000,Non-decreasing,Begin,15.622
310000,Random,Begin,0.519
310000,Only 0 to 100 values,Begin,0.146
310000,Non-decreasing,Begin,16.413
320000,Random,Begin,0.517
320000,Only 0 to 100 values,Begin,0.152
320000,Non-decreasing,Begin,17.192
330000,Random,Begin,0.551
330000,Only 0 to 100 values,Begin,0.151
330000,Non-decreasing,Begin,17.996
340000,Random,Begin,0.593
340000,Only 0 to 100 values,Begin,0.158
340000,Non-decreasing,Begin,18.847
350000,Random,Begin,0.591
350000,Only 0 to 100 values,Begin,0.163
350000,Non-decreasing,Begin,19.691
360000,Random,Begin,0.588
360000,Only 0 to 100 values,Begin,0.156
360000,Non-decreasing,Begin,20.514
370000,Random,Begin,0.654
370000,Only 0 to 100 values,Begin,0.201
370000,Non-decreasing,Begin,21.398
380000,Random,Begin,0.624
380000,Only 0 to 100 values,Begin,0.156
380000,Non-decreasing,Begin,22.251
390000,Random,Begin,0.638
390000,Only 0 to 100 values,Begin,0.173
390000,Non-decreasing,Begin,23.161
400000,Random,Begin,0.694
400000,Only 0 to 100 values,Begin,0.183
400000,Non-decreasing,Begin,24.024
410000,Random,Begin,0.683
410000,Only 0 to 100 values,Begin,0.199
410000,Non-decreasing,Begin,24.915
420000,Random,Begin,0.712
420000,Only 0 to 100 values,Begin,0.228
