Array size;Fill function;Pivot function;Time elapsed[s]
60;Only 0 to 100 values;Begin;0.000
60;Non-decreasing;Begin;0.000
70;Random;Begin;0.000
70;Only 0 to 100 values;Begin;0.000
70;Non-decreasing;Begin;0.000
80;Random;Begin;0.000
80;Only 0 to 100 values;Begin;0.000
80;Non-decreasing;Begin;0.000
90;Random;Begin;0.000
90;Only 0 to 100 values;Begin;0.000
90;Non-decreasing;Begin;0.000
100;Random;Begin;0.000
100;Only 0 to 100 values;Begin;0.000
100;Non-decreasing;Begin;0.000
110;Random;Begin;0.000
110;Only 0 to 100 values;Begin;0.000
110;Non-decreasing;Begin;0.000
120;Random;Begin;0.000
120;Only 0 to 100 values;Begin;0.000
120;Non-decreasing;Begin;0.000
130;Random;Begin;0.000
130;Only 0 to 100 values;Begin;0.000
130;Non-decreasing;Begin;0.000
140;Random;Begin;0.000
140;Only 0 to 100 values;Begin;0.000
140;Non-decreasing;Begin;0.000
150;Random;Begin;0.000
150;Only 0 to 100 values;Begin;0.000
150;Non-decreasing;Begin;0.000
160;Random;Begin;0.000
160;Only 0 to 100 values;Begin;0.000
160;Non-decreasing;Begin;0.000
170;Random;Begin;0.000
170;Only 0 to 100 values;Begin;0.000
170;Non-decreasing;Begin;0.001
180;Random;Begin;0.000
180;Only 0 to 100 values;Begin;0.001
180;Non-decreasing;Begin;0.000
190;Random;Begin;0.000
190;Only 0 to 100 values;Begin;0.001
190;Non-decreasing;Begin;0.000
200;Random;Begin;0.000
200;Only 0 to 100 values;Begin;0.000
200;Non-decreasing;Begin;0.000
210;Random;Begin;0.000
210;Only 0 to 100 values;Begin;0.001
210;Non-decreasing;Begin;0.000
220;Random;Begin;0.000
220;Only 0 to 100 values;Begin;0.000
220;Non-decreasing;Begin;0.000
230;Random;Begin;0.000
230;Only 0 to 100 values;Begin;0.000
230;Non-decreasing;Begin;0.000
240;Random;Begin;0.000
240;Only 0 to 100 values;Begin;0.000
240;Non-decreasing;Begin;0.000
250;Random;Begin;0.000
250;Only 0 to 100 values;Begin;0.000
250;Non-decreasing;Begin;0.000
260;Random;Begin;0.000
260;Only 0 to 100 values;Begin;0.000
260;Non-decreasing;Begin;0.000
270;Random;Begin;0.000
270;Only 0 to 100 values;Begin;0.000
270;Non-decreasing;Begin;0.000
280;Random;Begin;0.001
280;Only 0 to 100 values;Begin;0.000
280;Non-decreasing;Begin;0.000
290;Random;Begin;0.000
290;Only 0 to 100 values;Begin;0.000
290;Non-decreasing;Begin;0.000
300;Random;Begin;0.000
300;Only 0 to 100 values;Begin;0.000
300;Non-decreasing;Begin;0.000
310;Random;Begin;0.000
310;Only 0 to 100 values;Begin;0.001
310;Non-decreasing;Begin;0.000
320;Random;Begin;0.000
320;Only 0 to 100 values;Begin;0.000
320;Non-decreasing;Begin;0.000
330;Random;Begin;0.000
330;Only 0 to 100 values;Begin;0.000
330;Non-decreasing;Begin;0.000
340;Random;Begin;0.000
340;Only 0 to 100 values;Begin;0.000
340;Non-decreasing;Begin;0.000
350;Random;Begin;0.000
350;Only 0 to 100 values;Begin;0.000
350;Non-decreasing;Begin;0.000
360;Random;Begin;0.001
360;Only 0 to 100 values;Begin;0.000
360;Non-decreasing;Begin;0.001
370;Random;Begin;0.000
370;Only 0 to 100 values;Begin;0.000
370;Non-decreasing;Begin;0.000
380;Random;Begin;0.001
380;Only 0 to 100 values;Begin;0.000
380;Non-decreasing;Begin;0.001
390;Random;Begin;0.000
390;Only 0 to 100 values;Begin;0.001
390;Non-decreasing;Begin;0.000
400;Random;Begin;0.000
400;Only 0 to 100 values;Begin;0.000
400;Non-decreasing;Begin;0.000
410;Random;Begin;0.001
410;Only 0 to 100 values;Begin;0.000
410;Non-decreasing;Begin;0.001
420;Random;Begin;0.001
420;Only 0 to 100 values;Begin;0.000
420;Non-decreasing;Begin;0.000
430;Random;Begin;0.000
430;Only 0 to 100 values;Begin;0.000
430;Non-decreasing;Begin;0.001
440;Random;Begin;0.000
440;Only 0 to 100 values;Begin;0.001
440;Non-decreasing;Begin;0.000
450;Random;Begin;0.000
450;Only 0 to 100 values;Begin;0.000
450;Non-decreasing;Begin;0.001
460;Random;Begin;0.001
460;Only 0 to 100 values;Begin;0.000
460;Non-decreasing;Begin;0.000
470;Random;Begin;0.001
470;Only 0 to 100 values;Begin;0.000
470;Non-decreasing;Begin;0.001
480;Random;Begin;0.001
480;Only 0 to 100 values;Begin;0.000
480;Non-decreasing;Begin;0.001
490;Random;Begin;0.000
490;Only 0 to 100 values;Begin;0.001
490;Non-decreasing;Begin;0.000
500;Random;Begin;0.001
500;Only 0 to 100 values;Begin;0.000
500;Non-decreasing;Begin;0.001
510;Random;Begin;0.000
510;Only 0 to 100 values;Begin;0.001
510;Non-decreasing;Begin;0.000
520;Random;Begin;0.000
520;Only 0 to 100 values;Begin;0.000
520;Non-decreasing;Begin;0.001
530;Random;Begin;0.000
530;Only 0 to 100 values;Begin;0.000
530;Non-decreasing;Begin;0.000
540;Random;Begin;0.000
540;Only 0 to 100 values;Begin;0.000
540;Non-decreasing;Begin;0.001
